Situação de moradia_enc,Você está trabalhando atualmente?_enc,Você recebe bolsa ou auxílio financeiro? (Bolsa de estudos)_bin,cidade_cod,frequencia_volta_cod,Sua cidade natal é Santa Rita do Sapucaí?_bin,dependencias_ordinal,periodo_atual_enc,tipo_escola_enc,horas_estudo,abandono_oportunidade,Participação em atividades extracurriculares_enc,Você já realizou o trancamento de alguma disciplina por motivo de nota ou falta?_enc,Você já fez alguma evasão (transferência) de curso?_bin,faixa_idade_enc,genero_enc,evadiu
3,1,1,19,2,0,2,10,2,8.0,,1,0,,3,1,0
3,1,1,12,0,0,2,0,2,8.0,0.0,12,0,1.0,3,1,1
0,3,0,22,4,0,3,7,2,7.0,0.0,6,3,0.0,3,1,0
1,1,1,22,4,0,0,0,3,10.0,0.0,6,0,0.0,3,1,0
0,0,0,1,4,0,1,3,2,7.0,0.0,22,1,0.0,3,1,0
0,0,0,1,4,1,1,2,2,7.0,0.0,22,2,0.0,3,1,0
1,0,1,24,1,0,3,2,1,5.0,0.0,22,3,1.0,2,0,1
1,4,0,25,6,0,1,0,2,7.0,0.0,0,3,1.0,3,1,1
3,1,1,19,0,1,0,4,4,5.0,0.0,23,2,1.0,3,1,1
3,1,1,12,0,0,1,7,3,5.0,0.0,3,0,0.0,2,1,0
1,1,1,5,4,0,0,0,2,5.0,0.0,23,0,1.0,3,1,1
1,2,0,21,1,0,3,7,2,5.0,0.0,6,3,0.0,3,1,0
3,0,0,5,0,0,3,7,4,7.0,0.0,7,3,1.0,3,1,1
1,1,0,26,6,0,0,0,2,5.0,0.0,9,0,0.0,2,1,0
2,2,0,15,5,0,1,0,2,5.0,1.0,17,3,0.0,5,1,0
0,1,1,3,5,0,3,0,4,5.0,1.0,19,1,0.0,3,1,0
0,2,0,27,6,0,4,9,3,5.0,0.0,6,3,0.0,4,0,0
3,3,1,19,0,1,0,6,4,5.0,0.0,13,0,0.0,2,1,0
2,1,0,4,1,0,4,7,2,5.0,0.0,23,1,0.0,3,0,0
1,1,1,7,1,0,4,8,4,5.0,1.0,21,1,0.0,3,1,0
1,1,0,2,6,0,0,0,2,5.0,0.0,14,0,0.0,3,1,0
2,1,1,16,0,0,4,9,2,,1.0,23,2,0.0,6,1,0
2,1,1,9,1,0,4,5,4,5.0,0.0,2,3,0.0,2,1,0
2,2,0,18,6,0,0,5,3,5.0,0.0,10,0,0.0,4,1,0
1,4,1,0,1,0,0,1,2,7.0,0.0,5,0,0.0,1,1,0
1,0,1,22,4,0,4,5,2,5.0,0.0,5,3,0.0,3,0,0
2,0,1,17,4,0,3,2,2,5.0,0.0,5,1,1.0,1,1,1
2,0,1,22,4,0,4,4,2,5.0,1.0,6,1,1.0,2,1,1
3,4,0,19,3,1,1,2,4,5.0,0.0,0,0,0.0,1,1,0
2,5,0,4,1,0,0,5,3,5.0,0.0,22,0,0.0,3,1,0
3,3,1,5,0,0,3,7,4,4.0,0.0,6,3,0.0,3,1,0
0,4,1,22,4,0,3,5,2,2.0,0.0,0,3,0.0,2,1,0
3,1,0,21,3,0,3,0,2,2.0,0.0,23,3,0.0,3,0,0
3,0,1,5,0,0,4,7,3,2.0,0.0,5,1,1.0,3,1,1
2,0,0,28,5,0,4,7,2,4.0,0.0,8,1,1.0,4,1,1
0,0,0,19,4,1,3,0,4,4.0,0.0,3,3,1.0,3,1,1
0,3,1,20,1,0,1,5,1,6.0,0.0,18,0,0.0,2,1,0
3,4,1,19,0,1,1,7,2,6.0,0.0,0,3,0.0,3,0,0
3,1,1,5,0,0,1,5,3,8.0,1.0,9,3,0.0,3,1,0
0,6,1,14,4,0,3,3,2,2.0,0.0,5,3,0.0,2,1,0
3,0,0,5,0,0,3,5,2,6.0,0.0,0,3,0.0,2,1,0
1,0,1,22,4,0,4,2,2,6.0,0.0,22,3,0.0,2,0,0
0,1,0,29,6,0,4,0,2,2.0,0.0,13,3,0.0,4,1,0
1,3,1,23,1,0,0,0,3,2.0,0.0,17,0,0.0,3,1,0
1,1,1,21,4,0,0,7,2,2.0,0.0,13,0,0.0,2,1,0
3,1,1,5,0,0,1,0,4,20.0,1.0,23,3,0.0,3,1,0
1,1,0,19,3,1,0,0,2,2.0,0.0,20,0,0.0,2,1,0
3,4,1,19,0,1,4,0,2,2.0,1.0,6,3,1.0,3,1,1
0,3,1,19,6,0,3,0,2,8.0,0.0,15,0,0.0,3,1,0
3,0,1,22,0,1,4,5,3,4.0,1.0,6,1,1.0,5,1,1
2,4,0,22,4,0,1,0,2,6.0,0.0,14,3,0.0,3,1,0
3,1,0,22,0,0,3,2,3,6.0,1.0,23,3,0.0,2,1,0
2,0,1,13,1,0,0,2,1,8.0,0.0,16,0,0.0,1,0,0
0,0,0,10,5,0,4,6,2,16.0,1.0,23,3,0.0,3,1,0
3,4,1,19,0,1,4,3,3,12.0,0.0,4,3,0.0,2,1,0
0,4,1,22,4,0,0,5,2,6.0,0.0,16,0,0.0,2,0,0
2,0,0,22,4,0,4,2,0,8.0,0.0,11,3,0.0,2,0,0
1,0,1,6,1,0,3,2,2,8.0,0.0,5,1,1.0,2,0,1
3,3,1,5,0,0,0,7,2,4.0,0.0,0,0,0.0,2,1,0
0,1,1,22,4,0,3,7,3,8.0,1.0,17,3,0.0,3,1,0
3,1,1,5,0,0,3,7,4,4.0,0.0,6,3,0.0,3,0,0
1,1,1,22,1,0,0,4,4,4.0,0.0,0,0,0.0,2,1,0
1,1,0,8,1,0,4,6,2,4.0,0.0,0,3,0.0,2,1,0
3,4,1,19,0,1,3,4,4,2.0,0.0,3,1,0.0,2,0,0
2,0,1,11,1,0,4,6,3,4.0,0.0,3,3,0.0,4,1,0
